"id"	"ru_meaning"	"ru_meaning_raw"	"ru_meaning_lit"	"ru_notes"	"ru_cognate"
"28395"	""	"имя ученика аскета; досл. имеющий сеть"	""	""	""
"28396"	"Дигха Никая 7 (DN7)"	"джалиясутта; досл. наставление для Джалии; Дигха-никая 7 (ДН7)"	"наставление для Джалии"	""	""
"28397"	"запутывающий; опутывающий; обманывающий"	""	"имеющий сеть"	""	""
"28398"	""	"страсть; желание; жажда"	""	""	""
"28399"	""	"с перепонками; досл. с сетью"	""	""	""
"28400"	""	"горящий; пылающий; сияющий"	""	""	""
"28401"	""	"имя самостоятельно пробужденного Будды; досл. жгучий"	""	""	""
"28402"	""	"горит; разжигает; досл. вызывает горение"	""	""	""
"28403"	""	"сжигать; пылать; досл. заставлять гореть"	""	""	""
"28404"	""	"разжегши; зажегши"	""	""	""
"28405"	""	"разжигающий, освещающий"	""	""	""
"28406"	""	"зажег, осветил"	""	""	""
"28407"	"побеждающий; победоносный; покоряющий"	""	""	""	""
"28408"	""	"желающий; досл. жаждущий победы"	""	""	""
"28409"	"желает; хочет; желает получить"	""	"желает завоевать"	"Каччаяна принимает это как √har."	""
"28410"	""	"жадность, желание; досл. желая завоевать"	""	""	""
"28411"	"желающий; стремящийся; хотящий"	""	"желающий победить"	"Kаччаяна принимает это как √har."	""
"28412"	""	"желающий; стремящийся; досл. желающий победить"	""	""	""
"28413"	""	"жадность, желание; досл. желая завоевать"	""	""	""
"28414"	""	"желающий; хотящий; жаждущий; досл. желающий победить"	""	""	""
"28415"	""	"желал; досл. желал победить"	""	""	""
"28416"	""	"достигнутый"	""	""	""
"28417"	"желает; хочет; желает получить"	""	"желает завоевать"	"Каччаяна принимает это как √har."	""
"28418"	""	"желающий; хотящий; досл. хотящий победить"	""	"Каччаяна принимает это как √har."	""
"28419"	""	"желающий; хотящий; стремящийся получить; досл. желающий завоевать"	""	"[пер. ИИ] Каччаяна (474, 535) принимает корень как <i>√har</i>, что соответствует санскритскому дезидеративу <i>jihīrṣati</i> (см. MW <i>hṛ</i>). Но более вероятным кандидатом является <i>√ji</i>, что соответствует санскритскому дезидеративу <i>jigīṣati</i> (см. MW <i>ji</i>)."	""
"28420"	""	"желающий, хотящий, жаждущий, досл. желающий победить"	""	""	""
"28421"	""	""	""	""	""
"28422"	"питает отвращение; испытывает неприязнь"	""	"желает избежать"	""	""
"28423"	""	"избегает; досл. желает избежать"	""	""	""
"28424"	""	"отвращение; омерзение (от); быть сытым (по горло); досл. желание избегать"	""	""	""
"28425"	""	"неприятие, отвращение, ненависть; досл. стремление избегать"	""	""	""
"28426"	"следует испытывать неприязнь (к); можно питать отвращение (к)"	""	""	""	""
"28427"	""	"отвратительный; отвратный; вызывающий тошноту; досл. не должен нравиться"	""	""	""
"28428"	""	"избегающий; ненавидящий; не любящий; испытывающий отвращение; досл. желающий избежать"	""	""	""
"28429"	"питающий отвращение; испытывающий неприязнь"	""	"желая избежать"	""	""
"28430"	""	"что-то отвратительное; самоистязание; (комм) отвращение ко злу; досл. желание избежать"	""	""	""
"28431"	""	"избегаемый, ненавидимый; досл. желающий избежать"	""	""	""
"28432"	""	"избегаемый; презираемый; ненавидимый; отвергаемый"	""	""	""
"28433"	"должно вызывать отвращение; следует быть отвергнут"	""	""	""	""
"28434"	"Ангуттара Никая 3.27 (AN3.27)"	""	""	""	""
"28435"	"испытав отвержение; почувствовав отвращение (к); устав (от)"	""	""	""	""
"28436"	""	"избегая, отвращаясь"	""	""	""
"28437"	""	"хочет есть; голоден; досл. хочет есть"	""	""	""
"28438"	""	"голодный; желающий поесть; досл. желающий есть"	""	""	""
"28439"	"голод; жажда пищи"	""	"хотение есть"	""	""
"28440"	"голод и слабость"	""	""	""	""
"28441"	"страдает голодом и слабостью; охвачен голодом и недостатком сил"	""	""	""	""
"28442"	""	"голод и слабость"	""	""	""
"28443"	""	"голод и жажда"	""	""	""
"28444"	""	"имел желание поесть; досл. хотел поесть"	""	""	""
"28445"	""	"хотевший поесть; голодный; досл. хотевший поесть"	""	""	""
"28446"	""	"дикая лакрица; абрус молитвенный"	""	""	""
"28447"	"постаревший; старый; древний"	""	"изношенный"	""	""
"28448"	"изношенный; исчерпанный; старый; разложившийся"	""	"постаревший"	""	""
"28449"	"старик; пенсионер"	""	"постаревший"	""	""
"28450"	""	"(о здании) ветхий; разрушенный"	""	""	""
"28451"	""	"пожилой; старый"	""	""	""
"28452"	""	"старый человек; досл. изношенный"	""	""	""
"28453"	""	"время старости; время изношенности"	""	""	""
"28454"	"старая цапля; старый кроншнеп"	""	""	""	""
"28455"	""	"старость, досл. истощенное состояние"	""	""	""
"28456"	""	"реставратор обветшалых (зданий)"	""	""	""
"28457"	""	"старик; пожилой человек"	""	""	""
"28458"	"Саньютта Никая 16.5 (SN16.5)"	""	""	""	""
"28459"	"завоевание; победа; триумф"	""	"завоеванный"	""	""
"28460"	""	"завоёванный; побеждённый; освоенный"	""	""	""
"28461"	""	"имя самопробужденного Будды; досл. покоренный"	""	""	""
"28462"	""	"укрощение ума"	""	""	""
"28463"	""	"нас победили (кем-либо); мы проиграли (кому-либо); досл. мы побеждены"	""	""	""
"28464"	"победив; покорив"	""	""	"Тайское произношение палийского слова с вставкой буквы <b>-а-</b> между двумя согласными."	""
"28465"	""	"овладевший умом; досл. покоривший способности"	""	""	""
"28466"	""	"владение, мастерство"	""	""	""
"28467"	""	"победив, подчиняясь"	""	""	""
"28468"	"победитель; покоритель; эпитет Будды"	""	""	""	""
"28469"	"кто победил; превзошел"	""	""	""	""
"28470"	""	"проигравший; досл. побеждённый"	""	""	""
"28471"	""	"учение Будды"	""	""	""
"28474"	""	"побеждающий; подчиняющий"	""	""	""
"28475"	""	"буддийский монах; досл. сын Победителя"	""	""	""
"28476"	""	"слова, сказанные Буддой; официальная доктрина"	""	""	""
"28477"	""	"говоривший, произнесённый буддой"	""	""	""
"28478"	"учение Будды; религия Будды"	""	"послание Победителя"	""	""
"28479"	"ученик Будды"	""	"слушатель победителя"	""	""
"28480"	""	"слово Будды; учение Будды; досл. слово победителя"	""	""	""
"28481"	""	"печать слова Будды; печать официальной доктрины"	""	""	""
"28482"	""	"(грам) в соответствии с словом Будды; досл. согласно речи победителя"	""	""	""
"28483"	"побеждает; покоряет; поражает"	""	""	""	""
"28484"	"превосходит; бьет; побеждает"	""	""	""	""
"28485"	"победил; выиграл"	"победил; выиграл"	""	""	""
"28486"	""	"побеждать, преодолевать, одерживать победу"	""	""	""
"28487"	""	"победив, подчиняя"	""	""	""
"28488"	"мог бы победить; может покорить; может преодолеть"	""	""	""	""
"28489"	""	"должен победить; смог бы преодолеть"	""	""	""
"28490"	""	"кривой участок; косая деталь"	""	""	""
"28491"	""	"кривой"	""	""	""
"28492"	""	"нечестный"	""	""	""
"28493"	""	"кривизна, нечестность"	""	""	""
"28494"	""	"кривизна; нечестность; уловка"	""	""	""
"28495"	""	"криво; косо; с курса"	""	""	""
"28496"	"изворотливость; нечестность; увиливание"	""	""	""	""
"28497"	""	"тетива"	""	""	""
"28498"	""	"побеждается, теряет (что-то, аккузатив, в азартных играх или ставках)"	""	""	""
"28499"	""	"стареет; разлагается, изнашивается; погибает"	""	""	""
"28500"	""	"угнетен; лишён; теряет"	""	""	""
"28501"	""	"тетива"	""	""	""
"28502"	""	"привязанный к тетиве лука"	""	""	""
"28503"	""	"сила тетивы"	""	""	""
"28504"	"устает (от)"	""	"стареет"	""	""
"28505"	""	"стареет, разлагается; досл. изнашивается"	""	""	""
"28506"	""	""	""	""	""
"28507"	""	"с языком"	""	""	""
"28508"	"кончик языка"	""	""	""	""
"28509"	"наличие языка; особенность иметь язык"	""	""	""	""
"28510"	""	"составляющий элемент, который является языком (как органом чувств)"	""	""	""
"28511"	""	"вываливание языка"	""	""	""
"28512"	""	"узнаваемый, познаваемый, постижимый, воспринимаемый, чувствительный"	""	""	""
"28513"	"язык"	""	""	""	""
"28514"	""	"поле языка, тела, формы, звука, запаха, вкуса, прикосновения"	""	""	""
"28515"	""	"кончик языка"	""	""	""
"28516"	""	"язык и нёбо соответственно"	""	""	""
"28517"	""	"язык; досл. состояние языка"	""	""	""
"28518"	""	"непостоянство языка"	""	""	""
"28519"	""	"секхия 49; досл. правило о высовывании языка"	""	""	""
"28520"	"высунув язык"	""	"заставляя язык выйти"	""	""
"28521"	""	"парализация языка при помощи заклинания"	""	""	""
"28522"	""	"заклинание для связывания языка"	""	""	""
"28523"	""	"зависящий от языка"	""	""	""
"28524"	""	""	""	""	""
"28525"	""	"основанный на вкусовом чувстве"	""	""	""
"28526"	"поле вкуса; основа вкуса; язык"	""	""	""	""
"28527"	"болезнь языка"	""	""	""	""
"28528"	""	"океан языка"	""	""	""
"28529"	"контакт с языком; вкусовое впечатление"	""	""	""	""
"28530"	"основанный на контакте с языком; произведенный вкусовым впечатлением"	""	"рожденный от прикосновения языка"	""	""
"28531"	"завися от контакта с языком; по причине вкусового впечатления"	""	"от условия контакта с языком"	""	""
"28532"	""	"контакт с языком и соответствующее поле сознания; вкусовое впечатление и связанное с ним измерение познания"	""	""	""
"28533"	""	"поле вкусового восприятия; досл. поле контакта языка"	""	""	""
"28534"	"осознание вкусов; вкусовое восприятие"	""	"знание языка"	""	""
"28535"	""	"осознание вкуса; досл. состояние сознания языка"	""	""	""
"28536"	"познанный путем пробования на вкус"	""	"к понятию знанием языка"	""	""
"28537"	"ощущаемый вкусом; ощутимый языком"	""	"к познанию языком"	""	""
"28538"	"чувство вкуса; вкусовое восприятие"	""	"способность языка"	""	""
"28539"	""	"сдерживание чувства вкуса; досл. сдерживание способности языка"	""	""	""
"28540"	""	"сдержанный в чувстве вкуса"	""	""	""
"28541"	"победитель; чемпион"	""	""	""	""
"28542"	"лишенный; утративший"	""	"побежденный"	""	""
"28543"	""	"уменьшенный"	""	""	""
"28544"	""	"постаревший, сгнивший"	""	""	""
"28545"	""	"дождевое облако"	""	""	""
"28546"	"уменьшается; убавляется; сокращается"	""	""	""	""
"28547"	"стареет"	""	""	""	""
"28548"	"лишается; теряет (что-либо)"	""	"терпит поражение"	""	""
"28549"	"стареющий; взрослеющий; дряхлеющий"	""	""	""	""
"28550"	""	"уменьшился; снизился; стал меньше; пропал"	""	""	""
"28551"	""	"зира, досл. изношенный"	""	""	""
"28552"	""	"старение"	""	""	""
"28553"	""	"разрушение; изнашивание"	""	""	""
"28554"	""	"пищеварение; досл. изнашивание"	""	""	""
"28555"	""	"старение; гниение; изнашивание"	""	""	""
"28556"	"старость; дряхлость; увядание; ветхость"	""	"состояние старости"	""	""
"28557"	"стареет; изнашивается; ослабевает"	""	""	""	""
"28558"	""	"стареющий; становящийся старым"	""	""	""
"28559"	""	"причиненный гниению или пищеварению; досл. причиненный изнашиванию"	""	""	""
"28560"	""	"вызывает гниение или переваривание; досл. вызывает износ"	""	""	""
"28561"	""	"разлагающий, переваривающий, досл. изнашивающий"	""	""	""
"28562"	""	"привел к разрушению или перевариванию; досл. привел к изнашиванию"	""	""	""
"28563"	""	"постарел, состарился"	""	""	""
"28564"	"стареет; созревает; взрослеет"	""	"изнашивается"	""	""
"28565"	""	"разлагает; досл. изнашивает"	""	""	""
"28566"	""	"привел к разложению или перевариванию; досл. привел к изнашиванию"	""	""	""
"28567"	"душа; жизненная сила"	""	""	"см. SCPN §10 (Eastern Forms)"	""
"28568"	"жизнь"	""	""	""	""
"28569"	""	"живущий; существующий; бытийный"	""	""	""
"28570"	"имя врача"	""	"живущий"	""	""
"28571"	""	"название монастыря около Раджагахи; досл. манговая роща Дживаки"	""	""	""
"28573"	"Саньютта Никая 35.161 (SN35.161)"	""	""	""	""
"28574"	"Саньютта Никая 35.160 (SN35.160)"	""	""	""	""
"28575"	"Мадджхима Никая 55 (MN55)"	"маджхима никая 55; наставление Дживаке (мн55)"	"наставление для Дживаки"	""	""
"28576"	"Ангуттара Никая 8.26 (AN8.26)"	""	""	""	""
"28577"	""	"поймка живьем"	""	""	""
"28578"	""	"захват живым; живьем взятый; досл. взятие живым"	""	""	""
"28579"	""	"живет-живак, название птицы, вид фазана; (или перепела)"	""	""	""
"28580"	"живет"	""	""	""	""
"28581"	""	""	""	""	""
"28582"	""	"клык, живого, животного"	""	""	""
"28583"	""	"жизнь, средства к существованию, пропитание"	""	""	""
"28584"	""	"живущий; продолжающийся; выживающий"	""	""	""
"28585"	""	"живущий; существующий; выживающий"	""	""	""
"28586"	"мир живых"	""	""	""	""
"28587"	""	"воспринимающий (что-либо) как живое; считающий (что-либо) живым"	""	""	""
"28588"	""	"жил, существовал на"	""	""	""
"28589"	"для достатка; кто стремиться заработать на жизнь"	""	"чья цель средства к существованию"	""	""
"28590"	"Итивуттака 91 (ITI91)"	""	""	""	""
"28591"	"ведет образ жизни"	""	""	""	""
"28592"	""	"зарабатывающий себе на жизнь; поддерживающий своё существование; обеспечивающий своё пропитание"	""	""	""
"28593"	"образ жизни; средства к существованию"	""	""	""	""
"28594"	"жизнь; существование"	""	"живший"	""	""
"28595"	"средства к существованию; образ жизни"	""	"прожитый"	""	""
"28596"	""	"истощение жизни; конец продолжительности жизни; смерть"	""	""	""
"28597"	""	"сохранение жизни"	""	""	""
"28598"	"влечение к существованию; желание жизни"	""	""	""	""
"28599"	"опасность для жизни; несчастный случай со смертельным исходом (для)"	""	""	""	""
"28600"	""	"заканчивающийся с жизнью; ограниченный существованием"	""	""	""
"28601"	""	"зависимый от жизни; из-за существования"	""	""	""
"28602"	""	"необходимости для жизни; потребности существования"	""	""	""
"28604"	""	"ограниченный жизнью; ограниченный существованием"	""	""	""
"28605"	"ограничен жизнью; заканчивающийся вместе с жизнью; заключенный в жизни"	""	""	""	""
"28606"	"истощение жизни; окончание жизненного срока"	""	""	""	""
"28607"	""	"конец жизни; конец срока жизни"	""	""	""
"28608"	""	"должна быть прожита; досл. должно быть прожито"	""	""	""
"28609"	""	"собственная жизнь; собственное существование"	""	""	""
"28610"	"опьянение жизнью"	""	""	""	""
"28611"	""	"опьянённый гордыней своего существования; гордый своим бытием; досл. опьянённый опьянением жизни"	""	""	""
"28612"	"окончание жизни смертью; прекращение жизни смертью"	""	""	""	""
"28613"	""	"лучшее существование; высшая жизнь"	""	""	""
"28614"	"конец жизни; потеря жизни"	""	""	""	""
"28615"	""	"воля к жизни; намерение жить"	""	""	""
"28616"	""	"необходимое требование для жизни"	""	""	""
"28617"	""	"опасность жизни"	""	""	""
"28618"	""	"средства к существованию"	""	""	""
"28619"	""	"отнимающий жизнь"	""	""	""
"28620"	""	""	""	""	""
"28621"	"ведет свою жизнь; следует образу жизни"	""	"приготавливает жизнь"	""	""
"28622"	"лишает жизни; убивает"	""	"забирает (кого-то) из жизни"	""	""
"28623"	"лишил жизни; убил"	""	"забрал (кого-то) из жизни"	""	""
"28624"	""	"желание долгой жизни; ожидание существования"	""	""	""
"28625"	"жизнеспособность; жизненная сила; сила жизни"	""	""	""	""
"28626"	"(абхи) жизненность"	""	"жизнеспособность"	""	""
"28627"	"Саньютта Никая 48.22 (SN48.22)"	""	""	""	""
"28628"	""	"прерывание жизненной силы; прекращение существования"	""	""	""
"28629"	"желающий жить"	""	""	""	""
"28630"	"жить; оставаться в живых; выживать"	""	""	""	""
"28631"	""	"живя"	""	""	""
"28632"	""	"живущий жизнью; ведущий свою жизнь"	""	""	""
"28633"	"кто живет"	""	""	""	""
"28634"	""	"воспитанный"	""	""	""
"28635"	"яркий"	""	""	""	""
"28636"	"Джатака 456 (JA456)"	""	""	""	""
"28637"	""	"светлая половина месяца; пребывающая луна"	""	""	""
"28638"	""	"растущая луна"	""	""	""
"28639"	""	"лунный свет; лунная ночь"	""	""	""
"28640"	"сияние; яркость; великолепие; величие"	""	""	""	""
"28641"	""	"светящийся, досл. имеющий блеск"	""	""	""
"28642"	"носитель света; кто освещает; эпитет Будды"	""	""	""	""
"28643"	""	"сияющий; блестящий; лучезарный; досл. несущий свет"	""	""	""
"28644"	"сияющий; лучезарный; блестящий; великолепный"	""	""	""	""
"28645"	""	"факт быть светящимся; факт быть сияющим; блеск; великолепие; досл. имеющее качество блеска состояние"	""	""	""
"28646"	""	"сияющий; славный; великолепный; досл. имеющий блеск"	""	""	""
"28647"	""	"сияющий; сверкающий; великолепный; блестящий; досл. обладающий сияющим качеством"	""	""	""
"28648"	""	"делает подношение; приносит жертву"	""	""	""
"28649"	""	"совершение жертвоприношений; поднесение огненных даров"	""	""	""
"28650"	""	"влил в огонь, посвятил"	""	""	""
"28651"	""	"сделав приношение (к); преподнеся дар (к)"	""	""	""
"28652"	""	"приносит жертву; делает подношение"	""	""	""
"28653"	""	"игра; азартная игра"	""	""	""
"28654"	""	"игрок в азартные игры"	""	""	""
"28655"	""	"небрежность из-за азартных игр"	""	""	""
"28656"	""	"участие в азартных играх, которое является основой для небрежности"	""	""	""
"28657"	"неуважительное обращение к женщине"	""	""	""	""
"28658"	""	"отвращение; неприязнь"	""	""	""
"28659"	""	"отвратительный; отталкивающий; вызывающий тошноту"	""	""	""
"28660"	""	"отвращение; неприязнь; ненависть; досл. состояние нелюбви"	""	""	""
"28661"	""	"считаемый отвратительным; рассматриваемый как отталкивающий"	""	""	""
"28662"	""	""	""	""	""
"28663"	""	"отвратительная штука; что-то вызывающее отвращение; досл. то, что не нравится"	""	""	""
"28664"	"кто испытывает отвращение (к); кто ненавидит (к); кто питает отвращение"	""	""	""	""
"28665"	""	"добросовестный в моральном плане; избегающий причинения вреда любому живому существу; (комм) чувствующий отвращение к злу; досл. испытывающий отвращение"	""	"[пер. ИИ] относится к крайней безвредности к другим живым существам"	""
"28666"	"первый; старший; передовой"	""	""	""	""
"28667"	"месяц лунного календаря; май - июнь"	""	"первый"	""	""
"28668"	""	"первый; главный; лучший (среди)"	""	""	""
"28669"	""	"старший брат; первенец"	""	""	""
"28670"	""	"более высоко-ранговый (чем)"	""	""	""
"28671"	""	"высочайшее этическое поведение"	""	""	""
"28672"	""	"старший принц; старший сын"	""	""	""
"28673"	""	"более старый; более превосходный"	""	""	""
"28674"	""	"первенец; старший сын"	""	""	""
"28675"	""	"старшая сестра"	""	""	""
"28676"	""	"старший брат"	""	""	""
"28677"	""	"старший брат"	""	""	""
"28678"	""	"имя месяца, май-июнь"	""	""	""
"28679"	""	"почитание; уважение, о старших"	""	""	""
"28680"	""	"почтение к старшим; досл. состояние почитания старших"	""	""	""
"28681"	""	"уважающий старших; почтительный к старшим"	""	""	""
"28682"	"имя самостоятельно просветленного Будды"	""	"победитель"	""	""
"28683"	""	"должен быть побеждён, досл. к завоеванию"	""	""	""
"28684"	"имя принца"	""	"завоеватель; победитель"	""	""
"28685"	"тот кто побеждает; победитель"	""	""	""	""
"28686"	"название монастыря в Саваттхи; роща Джеты"	""	"лес победителя"	""	""
"28687"	"Саньютта Никая 1.48 (SN1.48)"	""	""	""	""
"28688"	""	"побеждает; добивается успеха (в); триумфирует (в)"	""	""	""
"28689"	""	"побеждать, завоевывать"	""	""	""
"28690"	"победив; завоевав; покорив"	""	""	""	""
"28691"	""	"победив, завоевав"	""	""	""
"28692"	""	"побеждающий"	""	""	""
"28693"	"Тхерагатха 111, глава 1.111, стих 111 (TH111)"	""	""	""	""
"28694"	"Тхеригатха 20, глава 2.2, стихи 21-22 (THI20)"	""	""	""	""
"28695"	"может покорить; мог бы победить; преодолеть"	""	""	""	""
"28696"	""	"должен быть побеждён, досл. к завоеванию"	""	""	""
"28697"	""	"покорил, поддал, победил"	""	""	""
"28698"	""	"победит; одолеет; обыграет"	""	""	""
"28699"	""	"вид оружия (с острием)"	""	""	""
"28700"	""	"ясный; явный; выражающий; досл. сияющий"	""	""	""
"28701"	""	"освещающий, досл. сверкающий"	""	""	""
"28702"	""	"ясно выражающий; делающий очевидным; досл. сияющий"	""	""	""
"28703"	"сияет; мерцает; излучает свет"	""	""	""	""
"28704"	""	"сияние, объяснение; досл. сияние"	""	""	""
"28705"	""	"сияние, объяснение"	""	""	""
"28706"	""	"сияющий, становящийся ярким"	""	""	""
"28707"	"проясняет; объясняет; освещает"	""	"побуждает сиять"	""	""
"28708"	""	"излучающий; сияющий; лучезарный; светящийся; досл. заставляющий сиять"	""	""	""
"28709"	""	"освещающий, проясняющий; досл. вызывающий светить"	""	""	""
"28710"	""	"светит постоянно"	""	""	""
"28711"	"свет"	""	""	""	""
"28712"	"огонь"	""	"сияние"	""	""
"28713"	""	"звезда; досл. сияние"	""	""	""
"28714"	""	"свечи, стали яркими; досл. сиять"	""	""	""
"28715"	""	"кремень, коробка с трутом; досл. имеющий блеск"	""	""	""
"28716"	""	"имя домохозяина; досл. обладающий блеском"	""	""	""
"28717"	""	"правило о (разжигании) огня; Пачиттия 56"	""	""	""
"28718"	""	"будущий свет, предназначенный для света"	""	""	""
"28719"	"место огня; алтарь"	""	""	""	""
"28720"	""	"освещённый, сделанный ясным; досл. сияющий"	""	""	""
"28721"	""	"который светящийся, предназначенный для тьмы"	""	""	""
"28722"	"Тхерагатха 132, глава 2.12, стихи 143-144 (TH132)"	""	""	""	""
"28723"	""	"имя группы божеств; досл. называемые светом"	""	""	""
"28724"	""	""	""	""	""
"28725"	""	"предназначенный; устремлённый к свету"	""	""	""
"28726"	"имя брахманского царского советника"	""	"защитник огня"	""	""
"28727"	""	"кристалл, генерирующий тепло"	""	""	""
"28728"	""	"освещённый, блестящий"	""	""	""
"28729"	""	"название пытки; досл. венок из огня"	""	""	""
"28730"	"некоторый драгоценный камень; камень исполняющий желания"	""	"сущность света"	""	""
"28731"	""	"астрономия; астрология"	""	""	""
"28732"	""	"астрономия; астрология"	""	""	""
"28733"	"разжигает огонь"	""	"складывает костер"	""	""
"28734"	"делает понятным; объясняет; освещает"	""	"заставляет сиять"	""	""
"28735"	""	"освещать, прояснять, объяснять; досл. вызывать светить"	""	""	""
"28736"	""	"сделав сияющим, сделав ясным; досл. сделав светящимся"	""	""	""
"28737"	""	"освещающий, проясняющий; досл. заставляющий светить"	""	""	""
"28738"	""	"вызвал светить, вызвал прояснить; досл. вызвал сиять"	""	""	""
"28739"	"день"	""	""	""	""
"28740"	""	"девятый элемент в числовом списке; досл. буква джх"	""	""	""
"28741"	"изнуренный; истощенный; измотанный"	""	"сгоревший"	""	""
"28743"	""	"сожгя"	""	""	""
"28744"	""	"кузнечиков; принадлежащий цикадам"	""	""	""
"28745"	""	"сверчок; цикада"	""	""	""
"28746"	""	"рыба"	""	""	""
"28747"	""	"медитируй!; размышляй!"	""	""	""
"28748"	"состояние глубокого медитативного покоя"	""	"медитация"	""	""
"28749"	"медитация; стадия медитации"	""	""	""	""
"28750"	""	"имеющий медитацию; относящийся к медитации"	""	""	""
"28751"	""	"разговор о медитации; обсуждение состояний медитативного покоя"	""	""	""
"28752"	""	"с медитацией в качестве оси"	""	""	""
"28753"	""	"компонент медитации; фактор джханы"	""	""	""
"28754"	""	"жажда состояний медитации"	""	""	""
"28755"	""	"поддержка достижения медитации"	""	""	""
"28756"	"сосредоточенный на медитации; посвятивший себя медитации; погруженный в медитацию"	""	""	""	""
"28757"	""	"упоение медитацией"	""	""	""
"28758"	""	"заслуга медитации"	""	""	""
"28759"	""	"намеренный на джхана-медитацию"	""	""	""
"28760"	""	"удовольствие медитации; путь; плод; нирвана"	""	""	""
"28761"	""	"проснулся через медитацию; понял медитацию"	""	""	""
"28762"	""	""	""	""	""
"28763"	""	""	""	""	""
"28764"	""	"наслаждающийся медитацией; находящий удовольствие в созерцании; радующийся джхане"	""	""	""
"28765"	""	"имеющий глубокие состояния медитации"	""	""	""
"28766"	""	"вы тот, кто достигает глубоких состояний медитации?"	""	""	""
"28767"	""	"достижение джхана"	""	""	""
"28768"	""	"вследствие достижений в медитации"	""	""	""
"28769"	""	"подробный отчет о достижении джханы"	""	""	""
"28770"	""	"достижение джханы"	""	""	""
"28771"	""	"глава 34 Самьютта-никаи; досл. соединение с джханой"	""	""	""
"28772"	""	"глава 53 самьютта никаи, досл. связанное с джханой"	""	""	""
"28773"	""	""	""	""	""
"28774"	"Ангуттара Никая 9.36 (AN9.36)"	""	""	""	""
"28775"	"Ангуттара Никая 10.8 (AN10.8)"	""	""	""	""
"28776"	"Джатака 134 (JA134)"	""	""	""	""
"28777"	""	"медитация, проницательность и путь"	""	""	""
"28778"	""	""	""	""	""
"28779"	""	"анализ медитации"	""	""	""
"28780"	""	"освобождение через джхана"	""	""	""
"28781"	""	"достижение медитаций, освобождений и умственного равновесия"	""	""	""
"28782"	""	"сфера медитации (о); область медитации (о); (комм) диапазон высшего знания из медитации"	""	""	""
"28783"	""	"практика медитации"	""	""	""
"28784"	""	"знание из медитации и т.д."	""	""	""
"28785"	"Саньютта Никая 52.21 (SN52.21)"	""	""	""	""
"28786"	"Саньютта Никая 53.1-12 (SN53.1-12)"	""	""	""	""
"28787"	""	"преданный джхане, устремлённый к джхане"	""	""	""
"28788"	""	"занятый медитацией"	""	""	""
"28789"	"Саньютта Никая 16.9 (SN16.9)"	""	""	""	""
"28790"	""	"любящий медитацию"	""	""	""
"28791"	""	"связанный с медитацией; касающийся джханы"	""	""	""
"28792"	""	"достигший джханы"	""	""	""
"28793"	""	"кто поджигает"	""	""	""
"28794"	""	""	""	""	""
"28795"	""	"поджигающий; заставляющий гореть"	""	""	""
"28796"	""	"подожжённый; сожжённый; кремированный; досл. вызванный сгоранием"	""	""	""
"28797"	""	"сжигая, поджигая"	""	""	""
"28798"	""	"сжигаемый"	""	""	""
"28799"	""	"сжигается"	""	""	""
"28800"	""	"поджигает; кремирует; досл. заставляет гореть"	""	""	""
"28801"	""	"сжигать; кремировать; поджигать; досл. заставлять гореть"	""	""	""
"28802"	""	"поджегши; кремировав; досл. вызвав огонь"	""	""	""
"28803"	""	"сжигающий; горящий; досл. вызывающий горение"	""	""	""
"28804"	""	"поджег; сжег; досл. заставил гореть"	""	""	""
"28805"	"сожжённый; обгорелый; обугленный"	"сожжённый; обгорелый; обугленный"	""	""	""
"28806"	""	"сожженный рис"	""	""	""
"28807"	""	"сожжённый"	""	""	""
"28808"	""	"сожженный пень"	""	""	""
"28809"	"обугленный пень"	"обугленный пень"	""	""	""
"28810"	""	"медитатор"	""	""	""
"28811"	""	""	""	""	""
"28812"	""	"думает, размышляет"	""	""	""
"28813"	"медитирует; размышляет"	""	"думает"	""	""
"28814"	"тяготится о; мрачно думает; опускает голову"	""	""	""	""
"28815"	""	"горит, пылает"	""	""	""
"28816"	""	"горение"	""	""	""
"28817"	""	"медитирование; созерцание"	""	""	""
"28818"	"медитирующий; созерцающий"	""	""	""	""
"28819"	"горящий; пылающий"	""	""	""	""
"28820"	""	""	""	""	""
"28821"	""	"медитирующий; размышляющий"	""	""	""
"28822"	""	""	""	""	""
"28823"	""	"медитировал; созерцал"	""	""	""
"28824"	""	"сгорел; вспыхнул"	""	""	""
"28825"	""	""	""	""	""
"28826"	""	"медитировать; практиковать медитацию"	""	""	""
"28827"	""	"медитируя; размышляя"	""	""	""
"28828"	""	"мы медитаторы; мы йоги"	""	""	""
"28829"	"медитирующий; йогин"	""	""	""	""
"28830"	"медитирующий; созерцающий"	""	""	""	""
"28831"	""	"десятый элемент в числовом списке; досл. буква ñ"	""	""	""
"28832"	""	"знающий; осведомленный; знакомый с"	""	"[пер. ИИ] Ña в составе слов."	""
"28833"	""	"знающий; обладающий интеллектом; (тот), кто обладает (правильным) знанием"	""	""	""
"28834"	""	"известный; выясненный; известный как; хорошо известный; (это) известно"	""	""	""
"28835"	""	"должен быть известен, должен быть понятен"	""	""	""
"28836"	""	"знать, обнаруживать"	""	""	""
"28837"	"знание; ученость"	""	""	"см. ñatta 2"	""
"28838"	"слава; известность; когда узнают"	""	""	"см. ñatta 1"	""
"28839"	""	"стать известным; стать знаменитым; завоевать хорошую репутацию; досл. охваченный знаменитостью"	""	""	""
