"id"	"ta_meaning"
"15471"	"அவர்கள் கடந்து சென்றனர்; அவர்கள் வென்றனர்; பொருள்: அவர்கள் மீறினர்"
"15472"	"வெறும், வெட்டி விடுகிறது, இடைவிடுகிறது, முற்றிலும் நிறுத்துகிறது, அருகில் வெட்டுகிறது."
"15474"	"அழிக்கப்பட்ட; நிறுத்தப்பட்ட; முடிவுற்ற; வெளியேற்றப்பட்ட; மெதுவாக அருகில் வெட்டப்பட்ட"
"15475"	"எறிகிறது; எறிக்கிறது"
"15477"	"எறிகிறது; நோக்குகிறது"
"15478"	"விலக்குதல்; வெட்டுதல்; உடைக்குதல்; முழுதாக நிறுத்துதல் (உள்ள); நெருங்கி வெட்டுதல்"
"15479"	"தடுக்குதல்; நிறுத்துதல்; அழிப்பது; அர்த்தமாக, அருகில் வெட்டு"
"15480"	"தன்னலமாக அனுபவமாக அறிவது; தன்னால் புரிகிறது"
"15482"	"வாழ்கிறது; சார்ந்திருக்கிறது; நம்புகிறது; வீடுபெறுகிறது"
"15483"	"வாழுகின்ற; வசிக்கின்ற; பருமன் அடையும்இல்; அருகில் வாழுவது"
"15485"	"வாழ்க்கை நடத்துகிற, வாழ்க்கை இயல்பாகப் பெறுகிற, வாழ்நிலைக்கு அடிப்படையாகக் காத்திருப்பதும்போன்று, விட்டில் அருகாமையில் வாழ்ந்த."
"15488"	"படித்துணர்வாளர்; ஆசிரியர்; வழிகாட்டி"
"15491"	"ஆசிரியருடைய முன்னணி"
"15493"	"ஆசிரியர், கற்பித்தலாளர், முன்வைத்தவர், உபதேசகரர்"
"15495"	"ஆதரிக்கப்பட்ட, கண்டெடுக்கப்பட்ட"
"15499"	"முடிவுற்று கண்டுகொண்டது (வெரியதன்று); அனுபவத்தில் கற்றது (வந்த்); தனக்கே கண்டுபிடித்தது (வெரியதன்று); தொதரித்து கற்றது"
"15500"	"விளக்கப்படும்; கற்பிக்கப்படும்"
"15501"	"நான் பிறருக்கு விளக்குகிறேன்; நான் கற்பிக்கிறேன்"
"15502"	"உரைப்பு; திட்டமிடல்; தயாரித்தல்; நிமிர்த்துதல்; அடிக்கடி அருகில் நிறுத்துவதாக "
"15505"	"நெருக்கமாக நிறுத்தப்பட வேண்டும்; நெருக்கத்தில் நிறுத்த வாய்ப்பு உண்டு"
"15506"	"விளம்பரிக்கிறது; முயற்சிக்கிறது; அருகில் நிற்க உதவுகிறது"
"15507"	"தயாரிக்கிறது; அமைக்கிறது; முன்பே ஏற்படும்; அருகில் நிற்கக்கூடியதாகச் செய்கிறது"
"15508"	"செல்லச் செய்கிறது; மருத்துவரை சிகிச்சை செயச் செய்கிறது; சாரா அருகில் நிற்கச் செய்கிறது"
"15509"	" நிகர்க்குவதற்கு, அருகில் நிறுத்துவதற்கு"
"15510"	"எரித்துக் கொண்டு, உறுதியாக இருப்பதை உறுதிபடுத்தி, அருகிலுள்ளதை நிறுத்திய பிறகு"
"15511"	"கை கொண்டுவந்த பிறகு; தயாராக வைத்த பிறகு; வெளியிட்ந்த பிறகு; அருகில் நிறுத்திய பிறகு"
"15512"	"நிறுத்திய பிறகு, அமைத்த பிறகு, வருகை தரும்படியானது, இருக்கும்படியானது"
"15513"	"நிறுத்துகின்ற; அமைக்கும்; நிகழ்க்கச் செய்கிற"
"15514"	"செய்து வைத்தாள்; அமைத்தாள்; தயாரித்தாள்; நின்று வைத்தாள்; அருகில் நிற்க வைத்தாள்"
"15515"	"நிற்கிறது, நிலவும், அருகில் நிற்கின்றது"
"15516"	"அரியவழக்கமாக நிற்கிறது; வழங்குகிறது (எவருக்கேண்டுமே)"
"15517"	"செல்கிறான்; கவனிக்கிறான்; பராமரிக்கிறான்; முறுவாய் அருகில் நிற்கிறது"
"15520"	"பங்கேற்றான்; சேவித்தான்; காத்திருந்தான்; உருப்படியில் அருகில் நின்றான்"
"15521"	"கொடுத்தார் (ஒருவருக்கு); நிலை நிறுத்தினான்"
"15524"	"நெருக்கமாக நிற்கப்படுகிறது; புறப்பாடு செய்யப்படுகிறது; கவனிக்கப்படுகிறது (மூலம்); விளக்கமாக அருகில் நிற்கப்படுகிறது"
"15525"	"பால்கின்ற; கவனிக்கப்படுகின்ற; பராமரிக்கப்படுகின்ற (வழி); விளக்கமாக, அருகில் நிற்கின்ற"
"15527"	"அதியாகி; உதவியாளர்; நெருங்கி நிற்கும்வர்"
"15528"	"அன்னைப் பெண்கள்; மருத்துவக் குருனராக்க ரோலியாளர்; உடற்சாய்வு பெற்றவர்"
"15529"	"பின் வரும்; பக்தர்; ஆதரவாளர்; கறுத்திகொள்கிறன."
"15530"	"என்பவர்கள்; தாக்கிக்கொண்டவர்கள்; ஆதரிக்கும் குடும்பம்"
"15531"	"சிறந்த служник; சிறந்த ஆதரவாளர் (இவற்றை விட)"
"15532"	"மருத்துவ ஆவணி; மருத்துவ உதவியாளர்; நெர قربய் நிற்கும் என்பது."
"15533"	"அந்திகரிக்கப்பட வேண்டும், பராமரிக்கப்பட வேண்டும், அருகில் நிறுத்தப்பட வேண்டும்"
"15534"	"தகுந்திருக்கிறது, அருகிலிருக்கிறது, நேர்க்கொண்டிருக்கிறது"
"15535"	"நிலை பெறுகிறது; உண்மையாக அருகில் நிற்கிறது"
"15539"	"பார்க்கும்; காத்திருக்கும்; சேவை செய்யும்; பொருளில் நெருக்கமாக நிற்கும்"
"15540"	"இருக்கின்று; செவிலியாய் நின்று"
"15541"	"சாதனை; கவனம், பராமரிப்பு"
"15544"	"நெருக்கத்தில் நிற்கும் பொருள் கொண்ட;"
"15547"	"அவசியமாக (ஏதாவது) கவனிக்கப்படும்"
"15548"	"சபை மண்டபம்; கூட்ட மண்டபம்; வழங்கல் மண்டபம்"
"15549"	"சீற்றம், அருகில் நிற்கும் மீது உரை, சஞ்சிகை நிகாயம் 9.2 (எஸ்.என் 9.2)"
"15551"	"செங்குத்து; வெளிப்பாடு"
"15554"	"உத்வேகிக்கின்ற, உருவாக்குகின்ற, அருகில் நிற்கச் செய்யுகின்ற"
"15555"	"செய்யப்படுபட்ட, அமைக்கப்பட்ட, தயார் செய்யப்படுபட்ட, நின்றுகொண்ட, அருகில்கருதுகொடுக்கப்படுபட்ட"
"15556"	"நிற்கப்பட வேண்டும்; அமைக்கப்பட வேண்டும்; இருப்பதாகக் செய்யப்பட வேண்டும்; கொண்டிருப்பதற்கு உறுதி செய்யப்பட வேண்டும்; என்னவென்றால் அருகில் நிற்கச் செய்ய வேண்டும்"
"15558"	"சேவையை வழங்க செய்பவர்; உதவியாளர் назначித்தவர்; நெருங்கியவராக நிறுத்துபவர்"
"15559"	"வேண்டுமென வைத்திருக்கிறான்; கிடைக்கச் செய்கிறான்; வழங்குகிறான்; அருகில் நிற்கவளிக்கும்"
"15560"	"அமைக்கிறது; தொடங்குகிறது; இருக்கும்படி செய்கிறது; ஒருவர் பெற்றுள்ளதாக உறுதி செய்கிறது; விளேராக அருகில் நிறுத்தச் செய்கிறது"
"15561"	"மருத்துவத்தை சிகிச்சையளிக்கச் செய்ய; கவனிக்கச் செய்ய; எதிர்பார்த்தால் அருகில் நிற்கச் செய்து"
"15562"	"உன்மையில் கொண்டுவருகிறது; உண்டாக்குகிறது; அருகில் நிற்க வைக்கிறது"
"15563"	"சேவிக்கச் செய்கிறான்; செவ்வந்தியாக நியமிக்கிறான்; நேராக இருக்கும் இடத்திற்கு அணுக வைக்கிறான்"
"15564"	"இருக்கவைக்க, நிறுவவைக்க, உறுதிப்படுத்தவைக்க, அருகில் நிறுத்தவைக்க"
"15565"	"தடுத்து ஆவி கொண்டு, உறுதி ஆவியுடனும், அருகில் நிறுத்திய பிறகு"
"15566"	"வழங்கியது; வழங்கப்பட்டது; வழங்கப்பட்டது (உடன்); விலகாமல் நிறுத்தப்பட்டது"
"15568"	"நிற்கப்பட்டான்; நிறுவப்பட்டான்; அருகில் நின்றான்"
"15569"	"சேவையில் இருந்தான்; சேவையாற்றினான்; காத்திருந்தான்"
"15571"	"நிகழும், வருகை வழங்குதல், நிறுவப்பட்ட, அருகிலிருந்து நிற்கப்பட்டது"
"15572"	"விரும்பிய, நிகழ்ந்த, நிறுதிக் கொடுக்கப்பட்ட, அருகில் நிற்கப்பட்ட"
"15573"	"ஒட்டிக்கொண்ட, அர்ப்பணிக்கப்பட்ட, தனது ஆற்றலை ஈட்டிய, விளராக அருகில் நிற்கும்"
"15574"	"உள்ளக்身体意識ுள்ள; உடலுக்கு கவனமிட்ட யோசனை"
"15575"	"உளவியல் பயன்பாட்டில், உடலின் உணர்வு பற்றிய குறியைத் தருதல்; உடலுக்கு கவனமாகச் செல்லுதல்"
"15576"	"மனதினால் உள்ளதாக, கவனமாக கவனித்தல், உரிய வகையில் அருகில் நிற்பது"
"15578"	"மனதிறன் கொண்ட, கவனமாக கவனித்தல், நேருக்கு நேர் மனதுடன் நிற்பது"
"15579"	"அனுகூல சிந்தனை இருக்கும் அந்நிலையை; கவனமாக மிகுதி நிகழ்வதற்கு நிலை; அச்சரியமாக நெருஞ்சு உண்டான நிலை"
"15580"	"உபத்தித்தஸ்ஸதிஸுத்த, சார்ந்த நிகாயம் 37.23 (எஸ்.என் 37.23); விளக்கமாக, கவனமாக கட்டுப்படுத்துவதான மனதைப் பற்றி உரை"
"15582"	"செல்லப்பட்ட, எதிர்பார்க்கப்பட்ட, நிற்கப்பட்ட"
"15587"	"சேல்கிறது; உரிர்க்கப்படுகிறது"
"15589"	"அரை"
"15590"	"ஒரு பாதி; பாதி"
"15592"	"மகிலின் உடலின் ஒரு பாதி"
"15593"	"பருக்கப்பட்ட, பாதி மூடிய, ஆகமப்பூர்வமான"
"15594"	"நட்சத்திரத்தில், பாதி வழி; ஆகமத்தில் பாதி சாலை"
"15595"	"மண்முடியிலான, அடித்தள தொகுப்பான"
"15596"	"சம்யுத்த நிக்காய 45.2 (எஸ்என்45.2); அர்த்தம்: அரை பற்றிய உரை"
"15602"	"கஷ்டம்; விலக்குதல்; வெறுக்கை"
"15607"	"ஊர்வசமாக நிற்கிறது; அருகில் நிற்குகிறது; பொருள் அடிப்படையில் அருகில் நிற்கிறது"
"15608"	"காத்திருப்பதற்கான விதி"
"15609"	"இருக்கத்தின் அடிப்படையில், அருகில் நிற்கும், பக்கத்தில் நிற்கும், அருகில் நிற்கும்"
"15610"	"சாரிப்புத்தா என்ற பெயர்; எளிதில், திச்சாவின் மகன்"
"15611"	"உபடிச்சா, பேச்சு, உபடிச்சா உடன்"
"15612"	"ஊக்கமளிக்கப்பட்ட; உதவப்பட்ட (அது); வரியாக் அருகில் ஊக்கமளிக்கப்பட்ட"
"15613"	"கட்டுக்கம்பம், உயரமாக, விளக்கமாக அருகில் ஆதரிக்கப்படும்"
"15614"	"அகமதிப்புடைய; கெம்பட்ட; அதிகாரமிக்க (பற்றி); வெளி யேற்று ஆதரிக்கப்பட்ட"
"15615"	"உறுதிப்படுத்தல்; ஊக்கம்; வகையில் அருகில் ஆதரவானது"
"15616"	"உயிர்மையின்மை; லைகை; பொருத்தமாக ஆதரிக்கிறது"
"15619"	"சேர்க்கிறது; நிறுத்துகிறது; பிடிக்கிறது; பரவாயில்லை ஆதரவளிக்கிறது"
"15620"	"ஆதரிப்பு; நிலைத்திருத்தம்; நேரில் ஆதரிப்பது"
"15624"	"எழுத்துபரிசீலனையிலோ அல்லது ஆதரிப்பதிலோ"
"15625"	"ஆதரிக்கப்பட்ட, ஆதரிக்க பட்ட, எதிர்கொள்கின்ற, நெருங்கிய ஆதரவு பெற்ற"
"15626"	"ஒத்த தலைவைக்கிறது; ஆதரிக்கிறது; அருகில் ஆதரிக்கிறதையே ஏற்படுத்துகிறது"
"15630"	"பருப்பு; மூடல்; கம்பளம்"
"15632"	"விவரிக்கப்பட்ட, காண்பிக்கப்பட்ட, விளக்கப்பட்டது, பார்ப்பதற்கு காரணமாக்கப்பட்டது"
"15633"	"விளக்குகிறது; கம்பியளிக்கிறது; எடுத்துக்காட்டுகிறது; அர்த்தம் பார்வை காணக் கற்பிக்கிறது"
"15634"	"விளக்கிய பிறகு; காட்டிய பிறகு; விளக்கி உள்ள பிறகு; காண நேர்த்தியடுத்து"
"15636"	"செய்கிறது; உருவாக்குகிறது; அமோகமாக்குகிறது; நேரடியாக அருகில்கொடுக்கிறது"
"15637"	"ஊக்கம் பெற வேண்டும்; உருவாக்கப்பட வேண்டும்; உரங்கள் நிலை குறித்து."
"15640"	"நெருங்கச்செய்ய விரும்பும்; தூண்டும் எண்ணம்; அச்சோர்ந்து அருகில் வைக்க விரும்புவது"
"15641"	"கெடுப்பதற்கு; உருவாக்குவதற்கு; கலவரமளிப்பதற்கு; அந்நிறுத்துவதற்கு"
"15642"	"நிலைத்துப் பிறகு, வைக்கப்பட்ட பிறகு, ஓய்ந்த பிறகு, அருகிலிருந்து வைக்கப்பட்ட பிறகு"
"15645"	"காட்டுபவர்; வெளிப்படுத்துபவர்; காட்சியளிப்பவர்"
"15646"	"காண்கிறது; வெளிப்படுத்துகிறது; கணிச்செய்கிறது; நிர்வகிக்கிறது"
"15647"	"காண்ப்பதற்கு; வெளியிடுவதற்கு; விளம்பரமிடுவதற்கு"
"15649"	"சுட்டுகிறது; விளக்குகிறது; காட்டுகிறது; குறிப்பதாகும்"
"15652"	"காணப்படுகிறது, கண்டுபிடிக்கப்படுகிறது, உள்ளது"
"15653"	"பிடிக்கிறது; தடுமாறுகிறது"
"15654"	"எதிர்பார்த்தான்; பொறுக்காமல் இருந்தான்"
"15655"	"குறிப்பு; பயிற்சி; அறிவுரை; பஞ்சமாக指向"
"15656"	"அதிர்ச்சி; துன்பம்; பேரழிவு"
"15657"	"அபாயம்; ஆபத்து; குற்றம்; மிரட்டல்"
"15660"	"ஆபத்துக்குள்ளாக்கப்பட்ட, தொந்தரவு செய்யப்பட்ட, துன்புறுத்தப்பட்ட, அஞ்சலிக்கப்பட்ட, அழுத்தப்படுத்தப்பட்ட (இல்)"
"15662"	"தலையணி; உண்மையில் அருகில் வைப்பது"
"15663"	"நிறுத்துதல்; கட்டாயமாக்குதல்; ஏற்படுத்துதல்; குறிக்கோள் அருகில் வைக்கும்"
"15664"	"உருமை, தலையணை, பலத்தை, விளக்கமளித்து அருகில் வைக்கவும்"
"15665"	"கானகம்; நிரப்பி; சொற்பொழிவு."
"15667"	"(வீணை) சரக்குகள்; ஒளி அடுத்தே எடுத்துவருதல்"
"15668"	"பால் கிண்ணம்; பால் பைல்; வெளிப்படையாக அருகிலும் உள்ளதற்கான இடம்"
"15672"	"இருந்தது; பிரதிபலித்தது; கருத்து வைத்தது; பொருளாக, அருகில் ஏற்றுக்கொள்ளப்பட்டது"
"15673"	"நினைவில் வைத்த, மனதில் வைத்த, அருகில் எடுத்த"
"15674"	"அறியிற்று, ஆராய்கிறான், அருகில் கொண்டு செல்கிறது"
"15676"	"ஆழ்ந்து ஆராய்ந்த பிறகு; அணுகிய பிறகு"
"15678"	"ஓடுகிறான்; விரைந்து அணைகிறது; குறுக்கே ஓடுகிறது; அருகிலே ஓடுகிறது"
"15682"	"ஏறும் முன், விரைந்து வந்த பிறகு, உடனே அருகே ஓடிய பிறகு, உருதியாக ஓடிய பிறகு"
"15683"	"பிணைப்பு; எனது என்று எடுத்துக்கொள்ளுதல்; உரிமை; கிடைக்கும்; உரிமை உணர்வு; அடையாளம்; ஒவ்வ்று அணிமுகம்"
"15686"	"உதவிக்கொண்ட, சுற்றுப்பிரியந்து, சிகைபுரிந்த, பற்றுதலால் எழுந்த, வாய்ப்பாடுகளால் பிறந்த"
"15687"	"பிரியம், என்பது துக்கத்தின் அடிப்படை"
"15688"	"உருக்குறிப்பின் மூலம்; அடிப்படையாகவே(அமைதியாக); அடையாளம் காணுதலில்(மூலமாக)"
"15689"	"உள்ளனவாறு தொடக்கம்; சாத்தாக்கிலம் மூலம் வரும்"
"15690"	"உரிமையின் முடிவு; பெறுவதற்கான நிறுத்தம்"
"15691"	"உரிமை முடிவுக்கு வைக்கும் வகையில் தயாரான"
"15692"	"இணைப்பின் அடிப்படையில்; அடிப்படையில் பெறுதல்; அடையாளத்தின் அடிப்படையில்"
"15693"	"பங்கம், அடிப்படை அடையாளங்களை நிறுத்துதல்; தொடர்புகளை விட்டுவிடுதல்"
"15694"	"ஆள்மக்களுடன் தொடர்புடைய; அடையாளமிடுதலுக்கு தொடர்பான"
"15695"	"உத்தியோகபூர்வமாக உருவான; உறுதிப்படுத்தப்பட்டதாக உருவான"
"15696"	"ஒப்பிடுவதை விலக்குதல்; அடையாளத்தை விலக்குதல்"
"15697"	"அறுகின்றது; அடையாளமற்ற, அடிமைத்தன்மையற்ற"
"15698"	"பிரியத்தை நீக்குதல்; சொத்துக்கள் அழிப்பு; அடையாளம் எடுக்கிறது நிறுத்தம்"
"15699"	"பெருக்கம், பிடிபிடிப்பு; விதிக்கு வந்துப்பிடித்தல்"
"15700"	"அமைதியான, உரிமைப் பெற்ற, அடிப்படையாகக் கொண்டு, பிடிவாதத்தினால் உருவாகும்"
"15701"	"உள்ளக் கொள்கலன் மணி, தொடர்பான சந்தோசம்"
"15702"	"உறவுகளிலிருந்து பிதுக்கிய தன்மை; அடையாளத்தில் இருந்து விலகல்; (வியாபாரம்) உரு பெற்ற மகிழ்ச்சிகளில் இருந்து விலகல்; சொற்பொழிவு அடியில் அருகாமையில் இருந்து தனிமை"
"15703"	"அடிப்படையான தொடர்பை உருவாக்கும்; என்கின்றேன் என எடுத்துக்கொள்வதில் விளைவதற்கு; அடையாளமான விளைவுகளை உடைய"
"15706"	"நகரத்திற்குக் குடியிருப்பதாக"
"15707"	"நடிக்கின்ற; விழாக்செய்யுகின்ற"
"15710"	"மகாதின் இராணுவ தலைவர் என்பதற்கான பெயர்; நூற்று மங்கலாகிய நந்தரின் புதல்வன்"
"15711"	"நான்கு தனிப்பட்ட ஆவியான புயோகர்கள் பெயர்; விளக்கம்: நந்தனின் சப்தி"
"15716"	"முழு கடுமையாக இருந்தான்; எதிர்ப்பைத் தாங்கித்தான் (மேலிருந்து); வெளிப்படையாக அருகில் சுருங்கினான்"
"15719"	"இணைகின்ற, உடன்படுகின்ற, அடையாளமாக நெருக்கமாக இருத்து"
"15721"	"வழங்குதல்; பயன்பாடு"
"15725"	"தீர்மானம்; புதிதாக அடையாளம் காட்டுதல்; ஒளி அளிக்கும் அருகிலே அழைத்தல்"
"15727"	"கிப்பது; கோபமிடம் வைகிறது; எதிர்ப்பு வைத்திருக்கிறது (பற்றி); உள்நோக்கும்"
"15728"	"முடிக்கிறது, தொகுத்து அடுப்புகிறான், ஒன்றாக கட்டுகிறான், அயல்படும் மீது கட்டுகிறான்"
"15735"	"உணவிற்கு(வெயிலைப் பற்றி) சேவித்து; அர்ப்பணித்து(க்கு); புகழ்படுத்து அருகில் கொண்டு வருகின்ற"
"15736"	"கிண்டி செய்யப்பட்ட, அணைக்கப்பட்டது, நெருக்கமாக விலைவால் வளைத்துக் கொடுக்கப்பட்டது"
"15737"	"உணவுக்கு (விண்ணைப்பற்றி) வழங்கப்பட வேண்டும்; (க்கு) அலங்கரிக்கப்பட வேண்டும்; அருகில் வளைக்க அவர் நடப்பதாகவும்."
"15738"	"உண்ணும் (ஆஹாரம்) வழங்குகிறது; அருகில் கொண்டு வருகிறது; அடுத்த மூச்சை எடுக்கிறது; தானாகவே அருகில் மடிக்க வைக்கிறது"
"15739"	"(உணவுக்குத் தொடர்பான) வழங்கப்பட்டது; (க்கு) உண்ணால்; நீரிழிவு நோயால் அருகே மடிக்கப்பட வைக்கப்பட்டது"
"15740"	"உள்ளே சென்று, அருகிலுள்ள, கொண்டு செல்லும், நடத்துவதற்கு எதிர்பார்க்கும்"
"15741"	"உள்ளுறவு உடைய, தொடர்புடைய, உடன் வரும், நேர் தொடர்புடைய, வழி செய்யும்"
"15742"	"வருத்தம்; கோபம்; எதிர்ப்பு; வெறுப்பு; அடிப்படையில் கட்டி வைத்து."
"15743"	"ஒரு பகுத்தறியலை (வெறுப்பு); வெறுப்பினை நீக்கு"
"15744"	"ரொம்பகாயமான; தவறு வைத்துக்கொள்ளும்; மோதலை சுமந்த; வெறுப்பான; பழிவாங்கும்; தவம் அடைகின்ற; இளரண்முக்கிலான"
"15745"	"செயற்கை தண்டனை உட்கொள்வதிற்கான உரை, கடுமை, துன்பம், சோதனை"
"15747"	"இறுதியாக வரநிலை போடினான்; வெளியில் வந்தான் (முப்பது); புறமாக சென்றான்"
"15748"	"வைக்கப்பட்ட, திறந்தவைக்கப்பட்ட"
"15750"	"உறுதிப்படுத்துகிறது; அருகில் வைக்கிறது; அருகில் வீசுகிறது"
"15751"	"விலக்கம்; அருகில் வைப்பு; அருகில் அமைத்தல்"
"15753"	"சூழ்நிலைக்கு அருகில் வைக்கப்பட்டு; அருகில் சேமித்துவைத்த; நேராக அருகில் எறியப்பட்டு"
"15755"	"இறுகை, அருகில் வைக்கவில்லை; ஒப்பீட்டிற்காகப் பக்கத்தில் வைக்கப்பட்டது"
"15756"	"பரிமணம் வரையறுக்கப்படுவதற்காக அருகில் வைக்கப்படும்"
"15762"	"விசாரிப்பு; தியானம்; சிந்தனை (மீது)"
"15763"	"கருத்துணர்வு செய்கிறது; விநியோகம் செய்கிறது; சிந்திக்கிறது (மேற்கோள்)"
"15764"	"வெறுப்பு, பொற்ச்சீனம், மருவியோர்; பொறாமைகொள்"
"15765"	"பார்க்கிறது; சலனமாகப் பார்க்கிறது; திண்ணமாகப் பார்க்கிறது (மீது)"
"15766"	"அனுபவிக்க, யோசிக்க, பிரதிபலிக்க (மீது)"
"15767"	"கொலைக்களிக்கின்ற, பளு கொண்டு இருக்கும், பொறாமை அடையின்ற, மற்றவர்களைப் பார்க்கின்ற"
"15768"	"கவலைப்பட்டான்; பொறாமை கொண்டான்"
"15769"	"யோசிக்கப்பட்ட, சிந்திக்கிற்று, விவேகிக்கப்பட்ட"
"15771"	"ஒப்பீடு; திரிபு; சமதர்சனம்; இல., அருகில் வைப்பது"
"15774"	"ஒப்பிடப்படும்; ஒப்பானது; நெருக்கமாக வைக்கப்பெறுதல்"
"15775"	"ஒப்புமை; ஒற்றுமை; ஒவ்வொன்றின் அருகில் வைக்கப்படும்"
"15776"	"அந்தின்; பதவிக் காப்பு; மற்றொுவரின் பரிசோதனையில் வைக்கப்பட்ட சொத்து; ஒப்படைக்கப்பட்ட உருப்படி; எளிதாக்கமாக அருகில் வைக்கின்றது"
"15778"	"பார்க்கிறது, சுற்றிக்கொள்கிறது"
"15780"	"அருகில் தங்கி சுங்கியுள்ள; அருகில் வாய்க்கையோடு அமர்ந்த"
"15782"	"உறுக்கிய, கட்டுப்படுத்தப்பட்ட, நன்கு கட்டிய, இணைக்கப்பட்ட"
"15784"	"இணைப்பதாக, 固定மாக, கட்டினதாக"
"15786"	"இணைப்பது; கட்டுதல்"
"15789"	"சேர்த்தல்; ஒட்டுதல்; கயிறன்படும்; எழுத்து எழுதுவது அருகில்"
"15790"	"பிணைப்பதற்கான சாதனம்; இணைத்தல்; மூடும் செயலி"
"15792"	"மட்டும், பிணைந்த, கட்டப்பட்ட (யாரையோ)"
"15793"	"உள்ளமான, எழுந்த, உருவான"
"15794"	"பொதுவான, ஒத்த, ஒத்துப் போன, குள்ள விழுக்கோழி, அண்மையில் பிரகாசித்த"
"15797"	"என்று வழிகாட்டப்படுகிறது; கொண்டு ಹೋಗப்படுகிறது (மென்மை மற்றும் மரணம்)"
"15798"	"அடிப்படையிலான, வாழும் (மீதிலான), அருகிலுள்ள ஆதரவுடன்"
"15799"	"ஏற்கை காரணமாக; முன்னுரிமையாக; முன்னெവிங்கையாக; உள்ளம் ஆதரவுடன்"
"15800"	"முழுமையான, முதன்மை கொண்ட, முதலில் தேவைப்படும், முன்னோக்கிய"
"15801"	"சம்யுத்த நிகாய 12.23 (எஸ்.என்.12.23); இல. போதிக்கப்படாத முன்பதிவுகள் பற்றிய உரை"
"15802"	"காரணம்; முன் நிலையில்; முன்பு தேவை (கின்வாய்க்கு); அருகிலுள்ள காரணம்; சொந்தமாக ஆதரவு"
"15803"	"காரணம் (க்கு); முதன்மை (க்கான); யதார்த்தமாக அருகிலிருக்கும் ஆதாரம்"
"15804"	"குறுக்கில் உட்கார்ந்து; முழுகும்"
"15805"	"உட்கார்ந்த, அருகில் உட்கார்ந்த"
"15806"	"கொண்டிருக்கிற, அருகிலுள்ள"
"15807"	"இவருக்கு அருகிலுள்ள அரிய தத்துவ உரை"
"15809"	"ராகதசம்யுத்தம், சங்கியுக்க ஸம்பந்தமான மூன்றாவது புத்தகத்தின் 4ம் அத்தியாயம்; அருகிலுள்ள உட்கார்வதற்கான அத்தியாயம்"
"15810"	"ஒரு பக்கம் உட்கார்கிறான்; சுற்றிக்கொள்கிறான்"
"15811"	"நெருக்கமாக உட்காரச் செய்து,"
"15813"	"உள்ள வரையில் உட்கார்ந்த பிறகு"
"15814"	"கட்டுகிறான்; பிசுபிசுக்கிறது; அதாவது நெருங்கி தொடர்புகிறது"
"15816"	"முடிவுநிலை ஆதரம்; ஆதரிக்கும் நிலை; போதுமான நிலை; அருகிலுள்ள ஆதாரம்"
"15818"	"அவசியமான ஆதரவற்ற நிலை கொண்ட, தேவையான முன்னெறிகள் உண்டு, அருகிலே ஆதரவு வெற்றியடைகிறது"
"15819"	"தொலைபார்வை ஆதரவினால்; அவசியமான ஆதரவுக்கருத்தினால்; அடிப்படையில் அருகிலுள்ள ஆதரவின் சக்தியால்"
"15821"	"அட靠ற்றது; அடிப்படையிலே இருக்கிறது; ஆதரிக்கப்பட்டது; அருகிலுள்ள ஆதாரம்"
"15822"	"உண்மையில் அருகில், அருகில் (இல்); அருகிலுள்ள ஆதாரம்"
"15823"	"மேரின் அடிப்படையில், ஒட்டியுள்ள, சென்றுள்ள, அருகிலான ஆதரவாக"
"15824"	"திரும்புகிறான், மறு வருகை அளிக்கிறான்"
"15825"	"கயிற்றினால் இழுக்கப்பட்ட; கொண்டு வந்த; அருகிலுள்ள என்பத_));"
"15826"	"காத்திருப்பில் இலக்கணம் பெற்ற, தாரனம் செய்யப்பட்ட, வழங்கப்பட்டது, அருகில் கொண்டுவரப்பட்டது"
"15827"	"அறிக்கையிடும்; இன்மையுடைய; குறிக்கின்ற; சுட்டிக்காட்டும்; குற்றம் சாட்டும்; முன்னகோர் அருகினில் கொண்டு வரப்பட்டது"
"15828"	"உள்ளீட்டுக்காட்டப்பட்ட; ஒப்பிட்ட; அருகில் கொண்டு வந்த"
"15829"	"முடிந்த, நிறைவடையექல், கடந்த, அணிகுறி அருகில்."
"15830"	"பயின்றง, பயிக்கப்பட்ட, ஆரம்பிக்கப்பட்ட (இல்); (சொல்ல) அணுக வைக்கப்பட்ட; பொருளாக அருகில் தொடர்ந்து செல்லுதல்"
"15831"	"தனியுரிமை அடைந்த புத்தரின் பெயர்; அதாவது, ஆரம்பித்தவர்"
"15832"	"முடிவில் உள்ள வாழ்க்கை, வாழ்க்கையின் இறுதியான நிலைக்கு வந்தது, வயதுக்கு வந்தது"
"15833"	"சூசித்து, குறிப்பிடுவது, உள்நுழைய வேண்டும், குற்றம் சுமத்துவது, உண்மையில் அருகே கொண்டு வருவது"
"15834"	"எடுத்து வைக்கப்படுகிறான்; தற்காலம் நோக்கி வழிநடத்தப்படுகிறான்; முடிவுக்கு கொண்டு வரப்படுகிறான்; (கோம) மெதுவாக மரணத்தைக் குறிக்கச் சென்றிருக்கிறான்; உள்ளூர்: அருகில் வழிநடத்தப்படுகிறது"
"15835"	"கொள்ளப்படுகிறான்; உருட்டப்படுகிறான்; தீமைபடுகிறான்"
"15836"	"கொடுத்துவருகின்ற, அழைத்துவருகின்ற, ஒட்டியுவருகின்ற"
